TIME_STAMP,Lon,Lat,API GPS Info GPS_Lon,API GPS Info GPS_Lat,API GPS Info Estimated accuracy,API GPS Info Speed,Event Technology,Event LTE Events,Event 5G-NR Events,HO Statistics Intra-LTE HO Source PCI,HO Statistics Intra-LTE HO Target PCI,HO Statistics Intra-LTE HO Band Type,HO Statistics Intra-LTE HO Result,HO Statistics Intra-LTE HO HO Type,HO Statistics Intra-LTE HO Duration [sec],Random Access Procedure Latency KPI Handover Latency(ms) (Chipset-Based),5G-NR RRC NR SCG Mobility Statistics NR SCG Mobility Type,5G-NR RRC NR SCG Mobility Statistics Duration [sec],Qualcomm 5G-NR MAC RACH Info Latency KPI Handover Latency[LTE to NR] [sec],Qualcomm 5G-NR MAC RACH Info Latency KPI Handover Latency[NR to NR] [sec],LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,5G KPI PCell RF Serving PCI,5G KPI PCell RF Band,5G KPI Total Info Layer1 PDSCH Throughput [Mbps],5G KPI Total Info Layer1 PUSCH Throughput [Mbps],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps]
2022-12-18 09:34:12.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.050,0.004,0.000,0.000
2022-12-18 09:34:13.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,,,0.000,0.000
2022-12-18 09:34:14.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.089,0.002,0.000,0.000
2022-12-18 09:34:15.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.078,0.008,0.000,0.000
2022-12-18 09:34:16.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.057,0.004,0.000,0.000
2022-12-18 09:34:17.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.078,0.002,0.000,0.000
2022-12-18 09:34:18.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.035,0.005,0.000,0.000
2022-12-18 09:34:19.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.037,,0.000,0.000
2022-12-18 09:34:20.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.069,0.005,0.000,0.000
2022-12-18 09:34:21.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.062,,0.000,0.000
2022-12-18 09:34:22.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.078,0.002,0.000,0.000
2022-12-18 09:34:23.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.069,0.005,0.000,0.000
2022-12-18 09:34:24.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.000,,0.000,0.000
2022-12-18 09:34:25.000000,-8.763770,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.001,0.005,0.000,0.000
2022-12-18 09:34:26.000000,-8.763770,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,,0.004,0.000,0.000
2022-12-18 09:34:27.000000,-8.763770,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.001,0.006,0.000,0.000
2022-12-18 09:34:28.000000,-8.763780,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.103,0.003,0.000,0.000
2022-12-18 09:34:29.000000,-8.763780,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.001,0.017,0.000,0.000
2022-12-18 09:34:30.000000,-8.763790,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.000,0.001,0.000,0.000
2022-12-18 09:34:31.000000,-8.763790,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.001,0.005,0.000,0.000
2022-12-18 09:34:32.000000,-8.763800,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.045,0.003,0.000,0.000
2022-12-18 09:34:33.000000,-8.763810,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.000,0.002,0.000,0.000
2022-12-18 09:34:34.000000,-8.763810,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.001,0.005,0.000,0.000
2022-12-18 09:34:35.000000,-8.763820,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.040,0.003,0.001,0.001
2022-12-18 09:34:36.000000,-8.763820,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,,0.006,0.000,0.000
2022-12-18 09:34:37.000000,-8.763830,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.005,,0.000,0.000
2022-12-18 09:34:38.000000,-8.763840,4.189650,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.001,0.004,0.000,0.000
2022-12-18 09:34:39.000000,-8.763920,4.189650,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.017,,0.000,0.000
2022-12-18 09:34:40.000000,-8.763840,4.189650,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.059,0.004,0.000,0.000
2022-12-18 09:34:41.000000,-8.763850,4.189650,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.037,,0.000,0.000
2022-12-18 09:34:42.000000,-8.763850,4.189650,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,,0.001,0.000,0.000
2022-12-18 09:34:43.000000,-8.763850,4.189650,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.019,0.008,0.000,0.000
2022-12-18 09:34:44.000000,-8.763860,4.189650,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.069,0.006,0.000,0.000
2022-12-18 09:34:45.000000,-8.763860,4.189650,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,,0.004,0.000,0.000
2022-12-18 09:34:46.000000,-8.763860,4.189650,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.069,,0.000,0.000
2022-12-18 09:34:47.000000,-8.763860,4.189650,0.000000,0.000000,0.000000,0.000000,LTE(4CA),,,,,,,,,,,,,,92,Band 66,,,,,0.051,0.052,0.001,0.000
2022-12-18 09:34:47.563935,-8.763860,4.189644,,,,,,eventA3,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 09:34:47.566508,-8.763860,4.189644,,,,,,Handover Attempt,,92,288,Intraband,,,,,,,,,,,,,,,,,,
2022-12-18 09:34:47.651380,-8.763860,4.189643,,,,,,Handover Success,,,,,Intra-LTE-HO Success,Unknown eNB HO,0.019,,,,,,,,,,,,,,,
2022-12-18 09:34:47.653775,-8.763860,4.189643,,,,,,PRACH: Msg1(RA),,,,,,,,,,,,,,,,,,,,,,
2022-12-18 09:34:47.654232,-8.763860,4.189643,,,,,,Received RAR[True],,,,,,,,,,,,,,,,,,,,,,
2022-12-18 09:34:47.654271,-8.763860,4.189643,,,,,,PRACH: Msg2(RAR),,,,,,,,37,,,,,,,,,,,,,,
2022-12-18 09:34:47.654322,-8.763860,4.189643,,,,,,PRACH: Msg3(UE ID),,,,,,,,,,,,,,,,,,,,,,
2022-12-18 09:34:47.773177,-8.763860,4.189642,,,,,,CA Config Attempt,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 09:34:47.774325,-8.763860,4.189642,,,,,,CA Config Success,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 09:34:47.911890,-8.763860,4.189641,,,,,,eventA2,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 09:34:48.000000,-8.763860,4.189640,0.000000,0.000000,0.000000,0.000000,LTE(3CA),,,,,,,,,,,,,,288,Band 66,,,,,0.018,0.018,0.000,0.000
2022-12-18 09:34:48.127117,-8.763860,4.189640,,,,,,eventA2,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 09:34:48.953562,-8.763860,4.189640,,,,,,eventA2,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 09:34:48.953681,-8.763860,4.189640,,,,,,eventA6-r10,,,,,,,,,,,,,,,,,,,,,,
