,Event 5G-NR Events,Event LTE Events,HO Statistics Intra-LTE HO Source PCI,HO Statistics Intra-LTE HO Target PCI,5G-NR RRC NR SCG Mobility Statistics NR SCG Mobility Type,5G-NR RRC ENDC MeNB PCell Change MeNB Pcell Change Type
5600,NR MCG Handover Success	 ,None,None,None,None,None
5621,NR MCG Handover Attempt	 ,None,None,None,None,None
5626,NR MCG Handover Success	 ,None,None,None,None,None
5640,NR MCG Handover Attempt	 ,None,None,None,None,None
5642,NR MCG Handover Success	 ,None,None,None,None,None
5678,NR MCG Handover Attempt	 ,None,None,None,None,None
5681,NR MCG Handover Success	 ,None,None,None,None,None
5719,NR MCG Handover Attempt	 ,None,None,None,None,None
5722,NR MCG Handover Success	 ,None,None,None,None,None
5756,NR MCG Handover Attempt	 ,None,None,None,None,None
5758,NR MCG Handover Success	 ,None,None,None,None,None
5795,NR MCG Handover Attempt	 ,None,None,None,None,None
5798,NR MCG Handover Success	 ,None,None,None,None,None
5817,NR MCG Handover Attempt	 ,None,None,None,None,None
5820,NR MCG Handover Success	 ,None,None,None,None,None
5857,NR MCG Handover Attempt	 ,None,None,None,None,None
5861,NR MCG Handover Success	 ,None,None,None,None,None
5917,NR MCG Handover Attempt	 ,None,None,None,None,None
5920,NR MCG Handover Success	 ,None,None,None,None,None
5969,NR MCG Handover Attempt	 ,None,None,None,None,None
5972,NR MCG Handover Success	 ,None,None,None,None,None
6039,NR MCG Handover Attempt	 ,None,None,None,None,None
6043,NR MCG Handover Success	 ,None,None,None,None,None
6070,NR MCG Handover Attempt	 ,None,None,None,None,None
6073,NR MCG Handover Success	 ,None,None,None,None,None
6095,NR MCG Handover Attempt	 ,None,None,None,None,None
6099,NR MCG Handover Success	 ,None,None,None,None,None
6202,NR MCG Handover Attempt	 ,None,None,None,None,None
6204,NR MCG Handover Success	 ,None,None,None,None,None
6226,NR MCG Handover Attempt	 ,None,None,None,None,None
6229,NR MCG Handover Success	 ,None,None,None,None,None
6243,NR MCG Handover Attempt	 ,None,None,None,None,None
6246,NR MCG Handover Success	 ,None,None,None,None,None
6274,NR MCG Handover Attempt	 ,None,None,None,None,None
6278,NR MCG Handover Success	 ,None,None,None,None,None
6296,NR MCG Handover Attempt	 ,None,None,None,None,None
6300,NR MCG Handover Success	 ,None,None,None,None,None
6331,NR MCG Handover Attempt	 ,None,None,None,None,None
6334,NR MCG Handover Success	 ,None,None,None,None,None
6354,NR MCG Handover Attempt	 ,None,None,None,None,None
6357,NR MCG Handover Success	 ,None,None,None,None,None
6396,NR MCG Handover Attempt	 ,None,None,None,None,None
6400,NR MCG Handover Success	 ,None,None,None,None,None
6438,NR MCG Handover Attempt	 ,None,None,None,None,None
6442,NR MCG Handover Success	 ,None,None,None,None,None
6456,NR MCG Handover Attempt	 ,None,None,None,None,None
6458,NR MCG Handover Success	 ,None,None,None,None,None
6533,NR MCG Handover Attempt	 ,None,None,None,None,None
6536,NR MCG Handover Success	 ,None,None,None,None,None
6557,NR MCG Handover Attempt	 ,None,None,None,None,None
6560,NR MCG Handover Success	 ,None,None,None,None,None
6590,NR MCG Handover Attempt	 ,None,None,None,None,None
6593,NR MCG Handover Success	 ,None,None,None,None,None
6625,NR MCG Handover Attempt	 ,None,None,None,None,None
6629,NR MCG Handover Success	 ,None,None,None,None,None
6649,NR MCG Handover Attempt	 ,None,None,None,None,None
6651,NR MCG Handover Success	 ,None,None,None,None,None
6692,NR MCG Handover Attempt	 ,None,None,None,None,None
6696,NR MCG Handover Success	 ,None,None,None,None,None
6878,NR MCG Handover Attempt	 ,None,None,None,None,None
6882,NR MCG Handover Success	 ,None,None,None,None,None
6894,NR MCG Handover Attempt	 ,None,None,None,None,None
6898,NR MCG Handover Success	 ,None,None,None,None,None
6943,NR MCG Handover Attempt	 ,None,None,None,None,None
