HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
4G_4G,0.019,0.032,
4G_4G,0.022,0.043,
4G_4G,0.017,0.041,
4G_4G,0.027,0.037,
4G_4G,0.021,0.031,
4G_4G,0.021,0.039,
4G_4G,0.026,0.044,
4G_4G,0.026,0.047,
4G_4G,0.026,0.04,
4G_4G,0.024,0.04,
4G_4G,0.026,0.045,
4G_4G,0.024,0.033,
4G_4G,0.024,0.039,
4G_4G,0.019,0.035,
4G_4G,0.023,0.039,
4G_4G,0.023,0.04,
4G_4G,0.024,0.042,
4G_4G,0.02,0.041,
4G_4G,0.027,0.047,
4G_4G,0.022,0.045,
4G_4G,0.024,0.04,
4G_4G,0.027,0.045,
4G_4G,0.022,0.038,
4G_4G,0.02,0.035,
4G_4G,0.026,0.045,
4G_4G,0.022,0.041,
4G_4G,0.025,0.048,
4G_4G,0.018,0.03,
4G_4G,0.025,0.041,
4G_4G,0.019,0.034,
4G_4G,0.018,0.034,
4G_4G,0.022,0.044,
4G_4G,0.018,0.039,
4G_4G,0.026,0.042,0.168
4G_4G,0.022,0.04,
5GNSA_4GChange,0.015,0.037,0.06
5GNSA_4GChange,0.035,0.054,0.071
4G_4G,0.02,0.04,0.082
5GNSA_4GChange,0.018,0.042,0.048
5GNSA_4GChange,0.022,0.039,0.051
5GNSA_4G,0.036,0.049,
4G_4G,0.019,0.035,
5GNSA_4GChange,0.018,0.03,0.052
5GNSA_5GChange,0.012,,0.073
4G_4G,0.022,0.033,
4G_4G,0.019,0.031,
5GNSA_5GChange,0.013,,0.055
5GNSA_4GChange,0.026,0.044,0.046
5GNSA_4GChange,0.024,0.04,0.057
4G_4G,0.014,0.029,
5GNSA_4GChange,0.024,0.039,0.057
5GNSA_4GChange,0.027,0.044,0.053
5GNSA_4GChange,0.024,0.042,0.06
5GNSA_5GChange,0.011,,0.059
5GNSA_5GChange,0.014,,0.074
5GNSA_5GChange,0.014,,0.071
5GNSA_4GChange,0.029,0.039,0.051
5GNSA_4GChange,0.029,0.048,0.049
5GNSA_5GChange,0.011,,0.214
4G_4G,0.026,0.042,0.068
5GNSA_5GChange,0.014,,0.058
5GNSA_4GChange,0.028,0.04,0.062
5GNSA_5GChange,0.013,,0.073
4G_4G,0.022,0.037,
4G_4G,0.024,0.043,0.234
5GNSA_5GChange,0.015,,0.065
5GNSA_5GChange,0.017,,0.162
5GNSA_4GChange,0.037,0.056,0.061
5GNSA_5GChange,0.012,,0.065
5GNSA_4GChange,0.018,0.03,0.062
4G_4G,0.027,0.038,
4G_4G,0.026,0.044,0.105
5GNSA_5GChange,0.014,,0.061
5GNSA_5GChange,0.017,,0.065
5GNSA_5GChange,0.015,,0.07
5GNSA_5GChange,0.023,,0.065
4G_4G,0.03,0.051,
4G_4G,0.019,0.037,
4G_4G,0.019,0.03,
5GNSA_5GChange,0.016,,0.109
5GNSA_5GChange,0.014,,0.072
5GNSA_5GChange,0.016,,0.067
5GNSA_4GChange,0.02,0.039,0.06
4G_4G,0.028,0.038,
4G_4G,0.028,0.043,
4G_4G,0.027,0.041,
4G_4G,0.028,0.044,0.169
4G_4G,0.028,0.037,0.126
5GNSA_5GChange,0.015,,0.063
5GNSA_5GChange,0.015,,0.067
5GNSA_4G,0.042,0.052,
4G_4G,0.013,0.025,
4G_4G,0.015,0.028,
4G_4G,0.02,0.036,
4G_4G,0.019,0.034,
4G_4G,0.019,0.035,
4G_4G,0.027,0.038,
4G_4G,0.015,0.024,
4G_4G,0.019,0.032,
4G_4G,0.02,0.03,
4G_4G,0.017,0.034,
4G_4G,0.025,0.036,0.181
5GNSA_5GChange,0.014,,0.062
5GNSA_4GChange,0.023,0.042,0.064
5GNSA_4GChange,0.018,0.033,0.05
4G_4G,0.018,0.028,
4G_4G,0.014,0.031,
4G_4G,0.019,0.033,
4G_4G,0.02,0.039,
4G_4G,0.019,0.033,
4G_4G,0.013,0.026,
4G_4G,0.014,0.029,
4G_4G,0.017,0.027,
4G_4G,0.018,0.029,
4G_4G,0.017,0.032,
4G_4G,0.018,0.069,
4G_4G,0.022,0.035,0.078
5GNSA_5GChange,0.014,,0.059
5GNSA_4GChange,0.027,0.045,0.054
5GNSA_4GChange,0.024,0.041,0.066
5GNSA_4GChange,0.027,0.143,0.063
5GNSA_4GChange,0.025,0.044,0.063
5GNSA_5GChange,0.015,,0.057
5GNSA_5GChange,0.013,,0.066
