,HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
197,5GNSA_5GChange,0.023,,0.081
198,5GNSA_4GChange,0.049,0.06,0.067
199,5GNSA_5GChange,0.02,,0.077
200,5GNSA_4GChange,0.052,0.07,0.07
201,5GNSA_5GChange,0.024,,0.08
202,5GNSA_5GChange,0.025,,0.083
203,5GNSA_4GChange,0.045,0.059,0.063
204,5GNSA_4GChange,0.046,0.062,0.062
205,5GNSA_5GChange,0.016,,0.076
206,5GNSA_5GChange,0.025,,0.079
207,5GNSA_4GChange,0.047,0.057,0.071
208,5GNSA_5GChange,0.017,,0.068
209,5GNSA_5GChange,0.013,,0.074
210,5GNSA_5GChange,0.047,,0.1
211,5GNSA_5GChange,0.036,,0.092
212,5GNSA_5GChange,0.042,,0.098
213,5GNSA_5GChange,0.014,,0.073
214,5GNSA_5GChange,0.021,,0.076
215,5GNSA_5GChange,0.022,,0.083
216,5GNSA_5GChange,0.013,,0.075
217,5GNSA_5GChange,0.021,,0.082
218,5GNSA_5GChange,0.022,,0.083
219,5GNSA_5GChange,0.012,,0.07
220,5GNSA_5GChange,0.023,,0.083
221,5GNSA_5GChange,0.021,,0.08
222,5GNSA_5GChange,0.016,,0.075
223,5GNSA_5GChange,0.017,,0.07
224,5GNSA_5GChange,0.021,,0.117
225,5GNSA_5GChange,0.022,,0.079
226,5GNSA_5GChange,0.024,,0.077
227,5GNSA_5GChange,0.022,,0.08
228,5GNSA_5GChange,0.018,,0.078
229,5GNSA_5GChange,0.025,,0.077
230,5GNSA_4GChange,0.045,0.061,0.064
231,5GNSA_5GChange,0.014,,0.071
232,5GNSA_5GChange,0.023,,0.084
233,5GNSA_5GChange,0.016,,0.074
234,5GNSA_5GChange,0.014,,0.07
235,5GNSA_5GChange,0.016,,0.073
236,5GNSA_4GChange,0.034,0.044,0.051
237,5GNSA_4GChange,0.022,0.038,0.062
238,5GNSA_5GChange,0.022,,0.072
239,5GNSA_5GChange,0.013,,0.072
240,5GNSA_4GChange,0.048,0.065,0.072
241,5GNSA_5GChange,0.011,,0.061
242,5GNSA_5GChange,0.014,,0.076
243,5GNSA_5GChange,0.022,,0.081
244,5GNSA_5GChange,0.016,,0.078
245,5GNSA_4G,0.027,0.06,
246,4G_4G,0.029,0.044,
247,4G_4G,0.017,0.031,
248,4G_4G,0.016,0.033,
249,4G_4G,0.028,0.039,
