,HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
373,5GNSA_4GChange,0.035,0.048,0.066
374,5GNSA_4GChange,0.022,0.042,0.06
375,5GNSA_4GChange,0.035,0.046,0.074
376,5GNSA_4GChange,0.021,0.037,0.075
377,5GNSA_4GChange,0.039,0.049,0.067
378,5GNSA_5GChange,0.012,,0.072
379,5GNSA_5GChange,0.017,,0.08
380,5GNSA_5GChange,0.012,,0.074
381,5GNSA_5GChange,0.012,,0.071
382,5GNSA_5GChange,0.01,,0.067
383,5GNSA_5GChange,0.012,,0.09
384,5GNSA_4GChange,0.04,0.052,0.06
385,5GNSA_4GChange,0.038,0.055,0.065
386,5GNSA_5GChange,0.013,,0.075
387,5GNSA_4GChange,0.02,0.03,0.075
388,5GNSA_5GChange,0.012,,0.088
389,5GNSA_4GChange,0.042,0.055,0.104
390,5GNSA_5GChange,0.015,,0.128
391,5GNSA_4GChange,0.042,0.061,0.106
392,5GNSA_5GChange,0.012,,0.088
393,5GNSA_5GChange,0.015,,0.122
394,5GNSA_5GChange,0.02,,0.146
395,5GNSA_4G5GChange,0.041,0.06,0.103
396,5GNSA_4GChange,0.042,0.061,0.075
397,5GNSA_4GChange,0.039,0.061,0.091
398,5GNSA_4GChange,0.015,0.028,0.082
399,5GNSA_4GChange,0.037,0.051,0.066
400,5GNSA_4GChange,0.02,0.036,0.063
401,5GNSA_4GChange,0.026,0.037,0.09
402,5GNSA_4G5GChange,0.042,0.053,0.265
403,5GNSA_4GChange,0.034,0.052,0.161
404,5GNSA_5GChange,0.011,,0.072
405,5GNSA_4GChange,0.039,0.052,0.097
406,5GNSA_4GChange,0.018,0.034,0.052
407,5GNSA_4GChange,0.047,0.058,0.193
408,5GNSA_4GChange,0.019,0.031,0.139
409,5GNSA_4GChange,0.018,0.031,0.11
410,5GNSA_5GChange,0.012,,0.093
411,5GNSA_5GChange,0.016,,0.068
412,5GNSA_4GChange,0.019,0.035,0.059
413,5GNSA_5GChange,0.013,,0.073
414,5GNSA_5GChange,0.013,,0.091
415,5GNSA_4GChange,0.018,0.029,0.065
416,5GNSA_5GChange,0.013,,0.076
417,5GNSA_4GChange,0.019,0.036,0.067
418,5GNSA_4GChange,0.035,0.056,0.066
419,5GNSA_4GChange,0.021,0.04,0.058
420,5GNSA_4GChange,0.018,0.03,0.084
421,5GNSA_4GChange,0.018,0.037,0.092
422,5GNSA_4GChange,0.017,0.035,0.057
423,5GNSA_5GChange,0.018,,0.111
424,5GNSA_4GChange,0.02,0.037,0.122
425,5GNSA_4GChange,0.018,0.036,0.108
426,5GNSA_5GChange,0.02,,0.087
