HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
5GNSA_4GChange,0.016,0.029,0.118
5GNSA_5GChange,0.014,,0.099
5GNSA_4GChange,0.018,0.029,0.105
5GNSA_5GChange,0.013,,0.079
5GNSA_4GChange,0.023,0.034,0.12
5GNSA_5GChange,0.012,,0.08
5GNSA_4GChange,0.024,0.04,0.126
5GNSA_5GChange,0.013,,0.101
5GNSA_4GChange,0.021,0.035,0.111
5GNSA_5GChange,0.012,,0.123
5GNSA_5GChange,0.022,,0.149
5GNSA_5GChange,0.025,,0.102
5GNSA_4GChange,0.021,0.038,0.07
5GNSA_5GChange,0.011,,0.072
5GNSA_4GChange,0.02,0.037,0.099
5GNSA_5GChange,0.021,,0.125
5GNSA_5GChange,0.012,,0.092
5GNSA_5GChange,0.012,,0.088
5GNSA_4GChange,0.02,0.034,0.119
5GNSA_4GChange,0.024,0.035,0.064
5GNSA_5GChange,0.012,,0.071
5GNSA_5GChange,0.011,,0.494
5GNSA_5GChange,0.019,,0.083
5GNSA_5GChange,0.015,,0.065
5GNSA_5GChange,0.012,,0.064
5GNSA_4GChange,0.018,0.029,0.111
5GNSA_5GChange,0.013,,0.133
5GNSA_5GChange,0.022,,0.087
5GNSA_4G5GChange,0.02,0.037,0.182
5GNSA_4GChange,0.018,0.031,0.066
5GNSA_4GChange,0.025,0.042,0.067
5GNSA_4GChange,0.024,0.044,0.079
5GNSA_5GChange,0.013,,0.078
5GNSA_4G5GChange,0.019,0.034,0.067
5GNSA_4GChange,0.02,0.031,0.059
5GNSA_4GChange,0.047,0.078,0.086
5GNSA_5GChange,0.022,,0.079
5GNSA_4GChange,0.015,0.029,0.072
5GNSA_4GChange,0.018,0.033,0.067
5GNSA_4GChange,0.017,0.041,0.059
5GNSA_5GChange,0.013,,0.072
5GNSA_4GChange,0.017,0.037,0.06
5GNSA_4GChange,0.021,0.042,0.069
5GNSA_4GChange,0.025,0.036,0.078
5GNSA_4GChange,0.015,0.034,0.061
5GNSA_5GChange,0.013,,0.077
5GNSA_5GChange,0.013,,0.077
5GNSA_4GChange,0.018,0.03,0.069
5GNSA_4GChange,0.019,0.035,0.069
5GNSA_5GChange,0.012,,0.07
5GNSA_4GChange,0.016,0.031,0.062
5GNSA_5GChange,0.013,,0.069
5GNSA_4GChange,0.029,0.04,0.087
5GNSA_4GChange,0.02,0.036,0.07
5GNSA_5GChange,0.02,,0.079
5GNSA_5GChange,0.014,,0.086
5GNSA_4GChange,0.018,0.038,0.133
5GNSA_4GChange,0.021,0.04,0.098
5GNSA_5GChange,0.026,,0.267
5GNSA_4GChange,0.021,0.038,0.087
5GNSA_5GChange,0.017,,0.158
5GNSA_5GChange,0.021,,0.116
5GNSA_4GChange,0.028,0.04,0.089
5GNSA_4GChange,0.018,0.031,0.11
5GNSA_5GChange,0.022,,0.079
5GNSA_5GChange,0.021,,0.08
5GNSA_4GChange,0.02,0.036,0.066
5GNSA_5GChange,0.013,,0.122
5GNSA_4GChange,0.021,0.033,0.074
5GNSA_4GChange,0.026,0.04,0.084
5GNSA_4GChange,0.024,0.041,0.08
5GNSA_4GChange,0.023,0.036,0.131
5GNSA_4GChange,0.019,0.034,0.113
5GNSA_4GChange,0.025,0.045,0.11
5GNSA_4GChange,0.025,0.041,0.07
5GNSA_4GChange,0.024,0.038,0.133
5GNSA_5GChange,0.014,,0.109
5GNSA_4GChange,0.017,0.027,0.079
5GNSA_4GChange,0.017,0.031,0.079
5GNSA_4G5GChange,0.02,0.038,0.133
5GNSA_5GChange,0.012,,0.329
5GNSA_5GChange,0.012,,0.123
5GNSA_4G5GChange,0.022,0.032,0.108
5GNSA_4GChange,0.019,0.035,0.137
5GNSA_4GChange,0.025,0.042,0.314
5GNSA_5GChange,0.023,,0.087
5GNSA_4GChange,0.019,0.037,0.064
5GNSA_4G5GChange,0.018,0.035,0.057
5GNSA_5GChange,0.013,,0.076
5GNSA_4GChange,0.018,0.033,0.071
5GNSA_5GChange,0.013,,0.067
5GNSA_4GChange,0.019,0.034,0.074
5GNSA_4GChange,0.017,0.027,0.071
5GNSA_5GChange,0.011,,0.083
5GNSA_5GChange,0.013,,0.084
5GNSA_4GChange,0.019,0.032,0.06
5GNSA_4GChange,0.019,0.035,0.07
5GNSA_5GChange,0.014,,0.078
5GNSA_5GChange,0.013,,0.07
5GNSA_4GChange,0.021,0.031,0.069
5GNSA_5GChange,0.014,,0.076
5GNSA_5GChange,0.014,,0.066
5GNSA_5GChange,0.014,,0.066
5GNSA_5GChange,0.014,,0.084
5GNSA_4G5GChange,0.019,0.038,0.056
5GNSA_5GChange,0.012,,0.081
5GNSA_4GChange,0.022,0.039,0.057
5GNSA_5GChange,0.013,,0.071
5GNSA_4GChange,0.021,0.035,0.083
5GNSA_4G5GChange,0.019,0.037,0.069
5GNSA_4GChange,0.018,0.031,0.075
5GNSA_4GChange,0.024,0.041,0.062
5GNSA_4GChange,0.021,0.039,0.061
5GNSA_5GChange,0.013,,0.083
5GNSA_4GChange,0.018,0.032,0.076
5GNSA_5GChange,0.013,,0.081
5GNSA_4GChange,0.017,0.034,0.058
5GNSA_4GChange,0.016,0.035,0.057
5GNSA_5GChange,0.012,,0.083
5GNSA_4GChange,0.026,0.039,0.084
5GNSA_5GChange,0.024,,0.093
5GNSA_5GChange,0.022,,0.082
5GNSA_5GChange,0.022,,0.085
5GNSA_4GChange,0.027,0.045,0.065
5GNSA_4GChange,0.019,0.037,0.065
5GNSA_4GChange,0.02,0.029,0.067
5GNSA_5GChange,0.014,,0.075
5GNSA_5GChange,0.026,,0.54
5GNSA_5GChange,0.023,,0.097
5GNSA_4GChange,0.023,0.041,0.12
5GNSA_4GChange,0.023,0.038,0.147
5GNSA_5GChange,0.017,,0.138
5GNSA_4GChange,0.025,0.037,0.121
5GNSA_4GChange,0.023,0.041,0.102
5GNSA_4GChange,0.02,0.037,0.081
5GNSA_5GChange,0.012,,0.071
5GNSA_4GChange,0.019,0.029,0.085
5GNSA_5GChange,0.022,,0.148
5GNSA_4GChange,0.02,0.18,0.048
5GNSA_4GChange,0.019,0.036,0.065
5GNSA_4GChange,0.022,0.039,0.508
5GNSA_4GChange,0.023,0.038,0.061
5GNSA_5GChange,0.013,,0.129
5GNSA_5GChange,0.022,,0.091
5GNSA_4GChange,0.023,0.033,0.816
5GNSA_5GChange,0.022,,0.075
5GNSA_4GChange,0.022,0.038,0.061
5GNSA_4GChange,0.02,0.031,0.119
5GNSA_5GChange,0.014,,0.132
5GNSA_5GChange,0.013,,0.13
5GNSA_4G5GChange,0.027,0.041,0.104
5GNSA_4GChange,0.025,0.044,0.063
5GNSA_5GChange,0.012,,0.133
5GNSA_4G5GChange,0.02,0.03,0.114
5GNSA_5GChange,0.014,,0.706
5GNSA_4GChange,0.024,0.041,0.497
5GNSA_4GChange,0.02,0.032,0.556
5GNSA_5GChange,0.024,,0.084
5GNSA_5GChange,0.013,,0.147
5GNSA_5GChange,0.013,,0.115
5GNSA_4GChange,0.023,0.034,0.463
5GNSA_4GChange,0.029,0.045,0.334
5GNSA_4GChange,0.023,0.035,0.354
5GNSA_5GChange,0.015,,0.117
5GNSA_5GChange,0.012,,0.117
